,popularity,name,url
0,1,La Mansion Marriott Reforma,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2394477-Reviews-La_Mansion_Marriott_Reforma_Steakhouse-Mexico_City_Central_Mexico_and_Gulf_Coast.html
1,2,Balta,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19338104-Reviews-Balta-Mexico_City_Central_Mexico_and_Gulf_Coast.html
2,3,Condimento Restaurant,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1926008-Reviews-Condimento_Restaurant-Mexico_City_Central_Mexico_and_Gulf_Coast.html
3,4,La Distral,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12104177-Reviews-La_Distral-Mexico_City_Central_Mexico_and_Gulf_Coast.html
4,5,Taquería y Restaurante Takotl,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20974480-Reviews-Restaurante_Takotl-Mexico_City_Central_Mexico_and_Gulf_Coast.html
5,6,Restaurante Condimento Emporio Reforma,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d22879733-Reviews-Restaurante_Condimento_Emporio_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html
6,7,Parole Polanco,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23312709-Reviews-Parole_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html
7,8,Sonora Grill Coapa,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20157621-Reviews-Sonora_Grill_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html
8,9,Animal,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d22880159-Reviews-Animal-Mexico_City_Central_Mexico_and_Gulf_Coast.html
9,10,Zefiro,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2236379-Reviews-Zefiro-Mexico_City_Central_Mexico_and_Gulf_Coast.html
10,11,Parrilla Urbana División del Norte,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1071091-Reviews-Parrilla_Urbana_Division_del_Norte-Mexico_City_Central_Mexico_and_Gulf_Coast.html
11,12,La Vicenta,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11727409-Reviews-La_Vicenta_Vallejo-Mexico_City_Central_Mexico_and_Gulf_Coast.html
12,13,Sonora Grill Narvarte,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8288826-Reviews-Sonora_Grill_Narvarte-Mexico_City_Central_Mexico_and_Gulf_Coast.html
13,14,Cambalache Plaza Oasis,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10330947-Reviews-Cambalache_Plaza_Oasis-Mexico_City_Central_Mexico_and_Gulf_Coast.html
14,15,Ilios Greek Estiatorio Polanco,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23653334-Reviews-Ilios_Greek_Estiatorio_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html
