,Popularity,Name,Calfication,Num_reviwes,Phone,Webside,Latitude,Longitude,Type_food,Comida,Servicio,Calidad/precio,Ambiente
0,1,La Mansion Marriott Reforma,5.0,1086.0,+52 55 1102 7021,http://www.facebook.com/mansionmarriottreforma,19.428345,-99.16426,"Mexicana, Parrillada",4.5,4.5,4.5,4.0
1,2,Balta,5.0,546.0,+52 55 8660 0500,http://www.sofitel-mexico-city.com/restaurants/balta-restaurant/,19.428432,-99.16592,"Mexicana, Mediterránea, Europea, Parrilla",4.5,5.0,4.5,
2,3,Condimento Restaurant,5.0,757.0,+52 55 1102 7030,http://www.marriott.com/hotels/hotel-information/restaurant/MEXMC&scid=d42e66eb-35c2-4d9c-9219-ae39f3a2ca9f,19.427828,-99.164024,Internacional,4.5,4.5,4.5,4.0
3,4,La Distral,5.0,393.0,+52 55 5140 4100,http://www.fiestamericana.com/hoteles-y-resorts/fiesta-americana-reforma-ciudad-de-mexico/hotel-dining/la-distral,19.433002,-99.15458,"Mexicana, Latina, Internacional",4.5,4.5,4.5,
4,5,Taquería y Restaurante Takotl,5.0,167.0,+52 55 4778 6428,http://linkreview.biz/mx/takotl,19.416248,-99.16546,"Mexicana, Internacional, Bar, Pub",5.0,5.0,5.0,
5,6,Restaurante Condimento Emporio Reforma,5.0,514.0,+52 55 5128 1128,http://hotelesemporio.com/hoteles/emporio-ciudad-de-mexico/,19.431667,-99.157,Mexicana,,,,
6,7,Parole Polanco,5.0,1613.0,+52 55 5801 0251,http://parole.mx/en/location-cdmx-restaurant,19.430412,-99.1994,"Italiana, Contemporánea, Toscana, Del centro italiano",4.0,4.0,3.5,
7,8,Sonora Grill Coapa,5.0,751.0,+52 55 2063 3499,http://sonoragrill.com.mx,19.294357,-99.12684,"Mexicana, Bar, Saludable",4.0,4.0,3.5,
8,9,Animal,5.0,574.0,+52 55 7691 3120,http://costeno.com/animal,19.432081,-99.19929,"Mexicana, Fusión, Gastropub, Bar",5.0,4.5,4.5,
9,10,Zefiro,5.0,842.0,+52 57097983,http://www.elclaustro.edu.mx/zefiro/,19.427332,-99.1382,"Mexicana, Contemporánea",5.0,5.0,4.5,4.5
10,11,Parrilla Urbana División del Norte,4.5,689.0,+52 55 5687 0533,http://parrillaurbana.com.mx/,19.393099,-99.16061,"Mexicana, Latina, Bar",4.0,3.5,3.5,4.0
11,12,La Vicenta,5.0,678.0,+52 55 9130 7261,http://lavicenta.com.mx/ubicaciones/,19.4866,-99.152115,"Latina, Parrilla, Mexicana",4.5,4.5,4.0,
12,13,Sonora Grill Narvarte,5.0,408.0,+52 55 5638 0825,http://sonoragrill.com.mx/,19.393164,-99.16072,"Mexicana, Churrasquería",4.5,4.0,4.0,
13,14,Cambalache Plaza Oasis,4.5,780.0,+52 55 5025 4307,http://www.cambalacherestaurantes.com/#coyoacan,19.344442,-99.17947,"Argentina, Internacional, Parrilla, Contemporánea",4.5,4.5,4.0,
14,15,Ilios Greek Estiatorio Polanco,5.0,405.0,+52 55 9688 6866,http://iliosrestaurante.com.mx/cdmx,19.431807,-99.19404,"Bar, Mediterránea, Griega",4.5,4.5,4.0,
15,16,Taboo Polanco,5.0,723.0,+52 55 2155 2298,http://taboorestaurant.com.mx/en/reservations/cdmx-restaurants,19.431421,-99.193085,"Mariscos, Mediterránea, Internacional, Contemporánea",5.0,4.5,4.5,
16,17,Porfirio's Coapa,5.0,652.0,+52 55 1717 3418,http://porfirios.com.mx/,19.294926,-99.12639,"Mexicana, Parrilla, Contemporánea",4.5,4.5,4.5,
17,18,KYU MÉXICO,5.0,381.0,+52 55 8848 3496,http://www.kyumexico.com,19.431955,-99.20089,"Asiática, Tailandesa, Coreana, Fusión",4.5,4.5,4.0,
18,19,Quattro Gastronomía Italiana,5.0,749.0,+52 55 9177 9727,http://www.quattro.com.mx/,19.367119,-99.26036,"Italiana, Mediterránea, Europea, Saludable, Toscana, Romana, De Lacio, Siciliana, Del centro italiano, Del sur italiano",4.5,4.5,4.0,4.5
19,20,Cityzen Rooftop Kitchen,5.0,1089.0,+52 55 8660 0500,http://www.sofitel-mexico-city.com/restaurants/cityzen-rooftop/,19.428486,-99.166,"Mexicana, Fusión",4.5,4.5,4.0,
20,21,Almara,5.0,694.0,+525252301766,http://www.almara.rest,19.424809,-99.16803,Mediterránea,4.5,4.5,4.5,
